subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 8 0.075 first first 15 1 160 8 7.415001 0.677839040756226 0 1 1 1
lala 6 0.3 second second 6 1 161 8 6.78 0.800062894821167 -0.5 0 1 1
lala 7 1.2 second first 2 1 162 8 6.48 0.411168813705444 -1 0 -1 0
lala 8 0.6 second first 2 1 163 8 7.079999 1.13340067863464 -1 0 -1 1
lala 3 1.2 first second 28 1 164 6.6 4.356 0.75561785697937 2 0 -1 1
lala 9 0.075 first first 15 1 165 8 7.340001 0.588948965072632 0 1 1 0
lala 4 1.2 first first 28 1 166 6.6 5.556 0.600060224533081 2 0 1 0
lala 6 0.6 second second 29 1 167 6.6 6.978 0.822285413742065 2 1 1 0
lala 8 0.15 first first 0 1 168 6.6 6.906 0.800062894821167 -1 0 1 0
lala 10 0.15 first first 3 1 169 8 7.49 0.366723775863647 -1 1 1 0
lala 2 1.2 first first 7 1 170 8 11.84 2.97786998748779 -0.5 1 1 1
lala 9 0.15 first second 0 1 171 6.6 6.756 0.722284078598022 -1 0 -1 0
lala 5 2.4 second first 31 1 172 8 4.640001 0.233388662338257 2 1 -1 1
lala 8 0.15 second first 4 1 173 6.6 5.705999 2.36675071716309 -0.5 0 -1 0
lala 9 0.3 second first 16 1 174 6.6 7.056 1.25562453269959 0.25 0 -1 1
lala 3 1.2 second second 1 1 175 6.6 8.778 0.844507932662964 -1 1 1 0
lala 10 0.6 first first 16 1 176 6.6 7.656 0.955620527267456 0.25 0 1 1
lala 7 0.6 first first 24 1 177 6.6 7.355999 0.488947629928589 1 0 1 1
lala 6 1.2 second second 31 1 178 8 5.840001 1.11117815971375 2 1 1 1
lala 3 1.2 second second 7 1 179 8 10.64 2.11119174957275 -0.5 1 1 0
lala 7 0.6 second second 9 1 180 6.6 8.177999 0.47783637046814 -0.25 1 1 1
lala 6 1.2 second first 5 1 181 6.6 3.978 0.266722440719604 -0.5 1 -1 1
lala 8 1.2 second second 9 1 182 6.6 6.977999 0.411168813705444 -0.25 1 1 1
lala 8 0.6 first second 11 1 183 8 4.640001 0.566726446151733 -0.25 1 -1 0
lala 4 1.2 second second 1 1 184 6.6 7.578 0.844507932662964 -1 1 1 1
lala 5 0.6 first second 20 1 185 6.6 4.956 0.944509267807007 0.5 0 -1 0
lala 5 0.6 first second 26 1 186 8 4.680001 0.588948965072632 1 0 -1 1
lala 5 0.6 second second 19 1 187 8 7.640001 0.3333899974823 0.25 1 1 1
lala 9 0.15 second second 4 1 188 6.6 5.855999 0.933398008346558 -0.5 0 1 0
lala 9 0.3 first first 22 1 189 8 6.18 0.222277402877808 0.5 0 1 0
lala 10 0.075 second first 0 1 190 6.6 6.830999 0.344501256942749 -1 0 -1 1
lala 10 0.075 second second 15 1 191 8 7.265001 0.644505262374878 0 1 1 1
lala 6 0.3 first second 20 1 192 6.6 5.256 0.366723775863647 0.5 0 -1 0
lala 11 0.075 second first 3 1 193 8 7.415 0.822285413742065 -1 1 -1 1
lala 7 0.3 second first 6 1 194 8 6.48 0.600060224533081 -0.5 0 -1 0
lala 6 0.6 first second 14 1 195 8 5.28 0.311167478561401 0 0 -1 1
lala 5 0.6 second first 28 1 196 6.6 4.956 0.544503927230835 2 0 -1 0
lala 8 0.3 second first 24 1 197 6.6 7.055999 0.655616521835327 1 0 -1 0
lala 9 0.15 first first 24 1 198 6.6 7.205999 0.144498586654663 1 0 1 1
lala 10 0.075 first first 4 1 199 6.6 5.781 0.488947629928589 -0.5 0 1 0
lala 9 0.6 second second 2 1 200 8 7.679999 0.266722440719604 -1 0 1 1
lala 10 0.3 second second 2 1 201 8 7.379999 0.300056219100952 -1 0 1 0
lala 11 0.075 first second 4 1 202 6.6 5.706 1.0778443813324 -0.5 0 -1 1
lala 5 1.2 first first 1 1 203 6.6 6.378 0.566726446151733 -1 1 1 1
lala 7 4.8 second first 25 1 204 6.6 -0.822 1.95563411712646 1 1 -1 1
lala 11 0.15 first first 15 1 205 8 7.115001 0.666727781295776 0 1 1 0
lala 6 0.3 second second 19 1 206 8 7.340001 1.27784705162048 0.25 1 1 1
lala 7 0.6 second second 31 1 207 8 5.240001 0.511170148849487 2 1 1 1
lala 4 1.2 first first 10 1 208 8 6.48 1.58896231651306 -0.25 0 1 0
lala 8 0.15 second first 6 1 209 8 6.63 0.200054883956909 -0.5 0 -1 1
lala 9 0.15 first first 6 1 210 8 6.78 0.644505262374878 -0.5 0 1 1
lala 5 0.6 second first 18 1 211 8 5.880001 0.18894362449646 0.25 0 -1 0
lala 11 0.3 first second 16 1 212 6.6 7.356 1.28895831108093 0.25 0 -1 0
lala 5 0.6 second first 10 1 213 8 5.880001 0.233388662338257 -0.25 0 -1 0
lala 11 0.3 second first 2 1 214 8 7.079999 1.28895831108093 -1 0 -1 1
lala 12 0.0375 first second 3 1 215 8 7.4525 3.15565013885498 -1 1 -1 1
lala 8 0.6 second first 31 1 216 8 4.640001 0.444502592086792 2 1 -1 0
lala 6 0.3 second first 28 1 217 6.6 5.256 0.522281408309937 2 0 -1 1
lala 3 1.2 second second 17 1 218 6.6 8.778 1.02228808403015 0.25 1 1 0
lala 7 1.2 second first 5 1 219 6.6 5.178 0.311167478561401 -0.5 1 -1 1
lala 9 0.3 second second 11 1 220 8 4.940001 0.944509267807007 -0.25 1 1 1
lala 10 0.075 first first 24 1 221 6.6 7.131 0.822285413742065 1 0 1 1
lala 10 0.15 second second 22 1 222 8 6.03 0.566726446151733 0.5 0 1 0
lala 12 0.15 second first 2 1 223 8 7.229999 2.34452819824219 -1 0 -1 1
lala 5 0.6 first first 21 1 224 6.6 6.978 2.8223123550415 0.5 1 1 0
lala 7 0.3 second second 20 1 225 6.6 5.556 1.44451594352722 0.5 0 1 1
lala 6 0.3 first first 10 1 226 8 6.180001 2.92231369018555 -0.25 0 1 0
lala 8 0.15 first first 20 1 227 6.6 5.406 1.21117949485779 0.5 0 1 0
lala 3 1.2 second second 27 1 228 8 8.240001 0.711172819137573 1 1 1 0
lala 9 0.0375 first second 30 1 229 8 4.4925 0.655616521835327 2 0 -1 0
lala 10 0.15 second first 11 1 230 8 4.790001 2.83342361450195 -0.25 1 -1 0
lala 9 0.15 first first 20 1 231 6.6 5.256 1.81118774414063 0.5 0 1 1
lala 5 0.6 second first 8 1 232 6.6 4.956 0.211166143417358 -0.25 0 -1 0
lala 7 0.3 first second 28 1 233 6.6 5.556 1.38895964622498 2 0 -1 0
lala 11 0.075 first first 0 1 234 6.6 6.905999 0.688950300216675 -1 0 1 1
lala 6 2.4 first first 1 1 235 6.6 3.978 1.34451460838318 -1 1 1 0
lala 12 0.0375 first first 0 1 236 6.6 6.868499 2.73342227935791 -1 0 1 1
