subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 6 1.2 first first 14 1 118 8 2.880001 0.859997510910034 0 0 1
lala 4 1.2 second first 2 1 119 -6.6 -3.156 0.959997415542603 -0.25 0 -1
lala 5 1.2 second first 12 1 120 6.6 4.356 -2.40000009536743 0 0 -1
lala 7 0.6 second first 14 1 121 8 2.280001 -2.40000009536743 0 0 -1
lala 3 1.2 second first 6 1 122 8 2.88 1.57999682426453 -0.25 0 -1
lala 5 1.2 first first 13 1 123 6.6 6.378 1.55999684333801 0 1 1
lala 8 0.3 first second 14 1 124 8 2.580001 1.63999700546265 0 0 -1
lala 6 2.4 first second 13 1 125 6.6 3.978 0.879997491836548 0 1 -1
lala 7 0.3 first first 19 1 126 -6.6 -6.678 0.959997415542603 0.25 1 1
lala 7 0.3 first first 9 1 127 -8 -8.540001 0.679997682571411 0 1 1
lala 6 0.3 first first 0 1 128 -8 -6.18 0.479997873306274 -0.25 0 1
lala 8 0.6 first second 17 1 129 -8 -6.440001 0.899997472763062 0.25 1 -1
lala 8 0.3 second second 9 1 130 -8 -8.240001 -2.40000009536743 0 1 1
lala 6 2.4 second first 20 1 131 6.6 1.956 3.09999561309814 0.25 0 -1
lala 9 0.3 first first 9 1 132 -8 -7.940001 0.759997606277466 0 1 1
lala 10 0.15 first second 10 1 133 -6.6 -3.606 0.759997606277466 0 0 -1
lala 8 0.15 first first 19 1 134 -6.6 -6.528 1.17999720573425 0.25 1 1
lala 6 0.3 first first 4 1 135 6.6 5.256 1.25999712944031 -0.25 0 1
lala 7 0.6 first first 23 1 136 8 9.44 0.61999773979187 0.25 1 1
lala 9 2.4 first first 18 1 137 -6.6 -7.955999 0.699997663497925 0.25 0 1
lala 5 1.2 first second 2 1 138 -6.6 -4.356 1.83999681472778 -0.25 0 -1
lala 9 0.3 second second 17 1 139 -8 -6.740001 -2.40000009536743 0.25 1 1
lala 7 0.6 second second 7 1 140 8 7.640001 2.85999584197998 -0.25 1 1
lala 8 0.6 second second 23 1 141 8 8.839999 1.83999681472778 0.25 1 1
lala 9 0.3 second first 14 1 142 8 2.880001 1.13999724388123 0 0 -1
lala 10 0.15 first second 17 1 143 -8 -6.590001 1.73999691009521 0.25 1 -1
lala 6 2.4 first second 2 1 144 -6.6 -6.756 0.799997568130493 -0.25 0 -1
lala 10 0.3 second first 14 1 145 8 3.180001 -2.40000009536743 0 0 -1
lala 11 0.075 second second 17 1 146 -8 -6.665001 4.35999441146851 0.25 1 1
lala 10 4.8 first second 18 1 147 -6.6 -3.155999 1.81999683380127 0.25 0 -1
lala 7 1.2 first first 13 1 148 6.6 5.178 1.49999690055847 0 1 1
lala 12 0.0375 first first 17 1 149 -8 -6.627501 0.779997587203979 0.25 1 1
lala 2 1.2 first second 15 1 150 8 11.84 0.939997434616089 0 1 -1
lala 4 1.2 first second 6 1 151 8 4.08 0.699997663497925 -0.25 0 -1
lala 4 1.2 first first 8 1 152 -8 -4.080001 0.679997682571411 0 0 1
lala 15 0.6 first second 16 1 153 -8 -4.679999 0.739997625350952 0.25 0 -1
lala 13 0.0375 first first 17 1 154 -8 -6.590001 0.779997587203979 0.25 1 1
lala 3 1.2 first first 22 1 155 8 2.88 0.61999773979187 0.25 0 1
lala 14 0.0375 first first 17 1 156 -8 -6.552501 1.65999698638916 0.25 1 1
lala 5 1.2 first second 6 1 157 8 5.28 0.759997606277466 -0.25 0 -1
lala 6 2.4 first first 12 1 158 6.6 6.756 1.0999972820282 0 0 1
lala 11 0.6 first second 14 1 159 8 3.780001 1.47999691963196 0 0 -1
lala 7 1.2 first second 12 1 160 6.6 5.556 1.55999684333801 0 0 -1
lala 7 1.2 second first 20 1 161 6.6 3.156 0.99999737739563 0.25 0 -1
lala 8 0.6 second first 12 1 162 6.6 6.156 0.739997625350952 0 0 -1
lala 8 0.6 second first 13 1 163 6.6 4.578001 -2.40000009536743 0 1 -1
lala 2 1.2 second second 5 1 164 6.6 7.578 -2.40000009536743 -0.25 1 1
lala 9 0.15 first second 19 1 165 -6.6 -6.378 1.79999685287476 0.25 1 -1
lala 7 0.15 second second 0 1 166 -8 -6.03 0.779997587203979 -0.25 0 1
lala 8 1.2 second second 21 1 167 6.6 4.578 -2.40000009536743 0.25 1 1
lala 6 2.4 first first 6 1 168 8 7.68 1.23999714851379 -0.25 0 1
lala 3 1.2 first first 11 1 169 -6.6 -8.778 0.61999773979187 0 1 1
lala 10 0.075 first second 19 1 170 -6.6 -6.453 0.61999773979187 0.25 1 -1
lala 5 2.4 second first 1 1 171 -8 -4.640001 2.13999652862549 -0.25 1 -1
lala 15 0.075 first first 17 1 172 -8 -6.477501 1.01999735832214 0.25 1 1
lala 11 0.15 first second 10 1 173 -6.6 -3.756 1.07999730110168 0 0 -1
lala 3 1.2 first second 5 1 174 6.6 6.378 0.839997529983521 -0.25 1 -1
lala 12 0.15 first second 10 1 175 -6.6 -3.906 0.739997625350952 0 0 -1
lala 11 0.075 first second 19 1 176 -6.6 -6.528 0.99999737739563 0.25 1 -1
lala 4 1.2 first first 11 1 177 -6.6 -7.578 0.939997434616089 0 1 1
lala 16 0.15 first first 17 1 178 -8 -6.327501 0.599997758865356 0.25 1 1
lala 8 0.15 first first 0 1 179 -8 -5.88 1.93999671936035 -0.25 0 1
lala 16 1.2 first first 16 1 180 -8 -5.879999 2.23999643325806 0.25 0 1
lala 9 0.3 first second 13 1 181 6.6 4.878001 3.81999492645264 0 1 -1
lala 7 0.15 first first 4 1 182 6.6 5.106 2.95999574661255 -0.25 0 1
lala 4 1.2 first first 5 1 183 6.6 7.578 0.99999737739563 -0.25 1 1
