subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Response_MotionEstimation
lala 6 0.6 first second 18 1 135 -6.6 -6.42 1.45999693870544 0.25 -1
lala 7 0.6 first first 1 1 136 -8 -7.4 0.939997434616089 -0.25 1
lala 5 0.6 second second 7 1 137 8 8.599999 0.579997777938843 -0.25 1
lala 7 0.3 second first 6 1 138 8 5.9 1.03999733924866 -0.25 -1
lala 6 1.2 first second 15 1 139 8 5.6 0.819997549057007 0 -1
lala 8 0.3 first second 4 1 140 6.6 7.02 2.25999641418457 -0.25 -1
lala 5 0.6 second first 11 1 141 -6.6 -5.58 0.519997835159302 0 -1
lala 6 0.3 second first 13 1 142 6.6 5.28 27.6804976463318 0 -1
lala 7 0.3 first first 19 1 143 -6.6 -7.38 0.679997682571411 0.25 1
lala 6 0.6 first first 7 1 144 8 8 1.15999722480774 -0.25 1
lala 5 1.2 first first 20 1 145 6.6 7.02 0.379997968673706 0.25 1
lala 8 0.15 second second 3 1 146 -6.6 -6.78 0.699997663497925 -0.25 1
lala 9 0.075 second first 16 1 147 -8 -6.5 0.539997816085815 0.25 -1
lala 5 2.4 second first 21 1 148 6.6 2.58 0.759997606277466 0.25 -1
lala 8 1.2 second first 1 1 149 -8 -6.2 0.679997682571411 -0.25 -1
lala 7 0.3 second second 18 1 150 -6.6 -6.72 0.539997816085815 0.25 1
lala 8 0.15 second second 18 1 151 -6.6 -6.57 0.39999794960022 0.25 1
lala 7 0.3 second first 12 1 152 6.6 4.92 1.73999691009521 0 -1
lala 8 0.3 first first 19 1 153 -6.6 -7.079999 2.01999664306641 0.25 1
lala 7 0.15 second second 10 1 154 -6.6 -6.27 0.39999794960022 0 1
lala 7 0.6 second first 7 1 155 8 7.4 0.719997644424438 -0.25 -1
lala 9 0.6 second first 1 1 156 -8 -6.8 1.55999684333801 -0.25 -1
lala 9 0.15 second second 18 1 157 -6.6 -6.42 0.559997797012329 0.25 1
lala 10 1.2 second first 2 1 158 -6.6 -3.719999 1.17999720573425 -0.25 -1
lala 7 0.3 second second 14 1 159 8 5.900001 2.27999639511108 0 1
lala 10 0.075 second second 16 1 160 -8 -6.575 1.15999722480774 0.25 1
lala 8 0.15 first second 14 1 161 8 5.75 0.579997777938843 0 -1
lala 6 0.6 second second 11 1 162 -6.6 -6.18 0.579997777938843 0 1
lala 8 0.3 first first 12 1 163 6.6 5.22 0.579997777938843 0 1
lala 10 0.15 second first 18 1 164 -6.6 -6.27 0.459997892379761 0.25 -1
lala 6 1.2 second first 21 1 165 6.6 3.78 0.319998025894165 0.25 -1
lala 9 0.3 first first 4 1 166 6.6 7.32 36.7407050132751 -0.25 1
lala 9 0.6 first second 19 1 167 -6.6 -6.48 0.499997854232788 0.25 -1
lala 7 1.2 first second 21 1 168 6.6 4.98 0.699997663497925 0.25 -1
lala 7 1.2 second first 15 1 169 8 6.8 0.939997434616089 0 -1
lala 7 0.3 second first 11 1 170 -6.6 -5.88 0.559997797012329 0 -1
lala 7 0.6 second second 23 1 171 8 5 0.839997529983521 0.25 1
lala 10 0.3 second second 19 1 172 -6.6 -6.78 0.319998025894165 0.25 1
lala 9 0.15 first first 3 1 173 -6.6 -6.63 0.979997396469116 -0.25 1
lala 10 0.6 second second 1 1 174 -8 -7.4 0.319998025894165 -0.25 1
lala 11 0.3 second second 1 1 175 -8 -7.099999 0.579997777938843 -0.25 1
lala 7 1.2 first first 9 1 176 -8 -6.8 65.9005522727966 0 1
lala 5 2.4 second first 17 1 177 -8 -4.4 0.23999810218811 0.25 -1
lala 6 0.6 second first 22 1 178 8 5.6 0.279998064041138 0.25 -1
lala 9 0.15 first second 12 1 179 6.6 5.07 0.339998006820679 0 -1
lala 7 0.15 second second 13 1 180 6.6 5.43 0.279998064041138 0 1
lala 8 1.2 first first 15 1 181 8 8 0.319998025894165 0 1
lala 9 0.075 second first 14 1 182 8 5.825 0.359997987747192 0 -1
lala 5 0.6 first second 0 1 183 -8 -6.2 0.939997434616089 -0.25 -1
lala 10 0.15 first first 4 1 184 6.6 7.17 0.839997529983521 -0.25 1
lala 7 0.3 second second 22 1 185 8 5.900001 0.319998025894165 0.25 1
lala 8 0.075 first first 10 1 186 -6.6 -6.195 0.779997587203979 0 1
lala 8 0.15 first first 6 1 187 8 6.05 0.659997701644897 -0.25 1
lala 6 1.2 first second 17 1 188 -8 -5.6 0.639997720718384 0.25 -1
lala 8 1.2 second second 21 1 189 6.6 6.18 0.299998044967651 0.25 1
lala 8 1.2 first first 8 1 190 -8 -5.599999 0.259998083114624 0 1
lala 10 0.3 second second 3 1 191 -6.6 -6.33 0.359997987747192 -0.25 1
lala 11 0.6 second first 2 1 192 -6.6 -4.319999 0.459997892379761 -0.25 -1
lala 6 0.6 second second 20 1 193 6.6 6.42 1.75999689102173 0.25 1
lala 8 0.15 second second 11 1 194 -6.6 -6.03 0.559997797012329 0 1
lala 7 1.2 second second 17 1 195 -8 -6.8 0.379997968673706 0.25 1
lala 8 0.6 first second 23 1 196 8 4.400001 0.779997587203979 0.25 -1
lala 9 0.6 second second 21 1 197 6.6 5.58 0.419997930526733 0.25 1
lala 11 0.0375 second second 16 1 198 -8 -6.5375 0.639997720718384 0.25 1
lala 5 0.6 first second 5 1 199 6.6 5.58 1.11999726295471 -0.25 -1
lala 9 0.6 first first 15 1 200 8 7.4 0.479997873306274 0 1
lala 10 0.6 first second 21 1 201 6.6 4.98 0.659997701644897 0.25 -1
lala 11 0.3 second first 21 1 202 6.6 5.280001 0.959997415542603 0.25 -1
lala 8 0.6 first first 9 1 203 -8 -6.2 0.899997472763062 0 1
lala 6 0.3 first first 0 1 204 -8 -6.5 1.37999701499939 -0.25 1
lala 9 2.4 second first 8 1 205 -8 -3.199999 0.279998064041138 0 -1
lala 11 0.15 first second 4 1 206 6.6 7.02 0.919997453689575 -0.25 -1
lala 10 0.075 first first 14 1 207 8 5.9 0.519997835159302 0 1
lala 9 0.075 second second 11 1 208 -6.6 -5.955 0.379997968673706 0 1
lala 11 0.6 first second 3 1 209 -6.6 -5.73 2.25999641418457 -0.25 -1
lala 12 0.075 first first 4 1 210 6.6 7.095 1.5399968624115 -0.25 1
lala 9 0.6 second first 9 1 211 -8 -5.6 0.99999737739563 0 -1
lala 10 0.3 second first 9 1 212 -8 -5.900001 0.559997797012329 0 -1
lala 8 0.075 first second 13 1 213 6.6 5.355 0.739997625350952 0 -1
lala 6 0.6 second first 5 1 214 6.6 6.18 0.779997587203979 -0.25 -1
lala 10 0.6 first first 15 1 215 8 6.8 1.43999695777893 0 1
lala 9 0.0375 first first 13 1 216 6.6 5.3925 0.559997797012329 0 1
lala 13 0.0375 second first 4 1 217 6.6 7.0575 0.799997568130493 -0.25 -1
lala 10 0.075 first first 12 1 218 6.6 5.145 0.979997396469116 0 1
lala 12 0.3 second second 1 1 219 -8 -6.799999 0.559997797012329 -0.25 1
lala 12 0.0375 second second 16 1 220 -8 -6.5 0.659997701644897 0.25 1
lala 7 0.6 second first 20 1 221 6.6 5.82 0.659997701644897 0.25 -1
lala 11 0.3 second second 9 1 222 -8 -6.200001 0.379997968673706 0 1
lala 13 0.0375 first first 16 1 223 -8 -6.4625 1.0999972820282 0.25 1
lala 13 0.3 second second 1 1 224 -8 -6.499999 0.499997854232788 -0.25 1
lala 12 0.15 second first 9 1 225 -8 -6.050001 0.379997968673706 0 -1
lala 10 0.01875 first second 13 1 226 6.6 5.37375 0.359997987747192 0 -1
lala 11 0.009375 second first 13 1 227 6.6 5.383125 0.579997777938843 0 -1
lala 12 0.3 first first 21 1 228 6.6 5.580001 0.659997701644897 0.25 1
lala 12 0.009375 second second 13 1 229 6.6 5.3925 0.339998006820679 0 1
lala 13 0.15 first second 21 1 230 6.6 5.430001 0.759997606277466 0.25 -1
lala 14 0.6 second second 1 1 231 -8 -5.899999 0.839997529983521 -0.25 1
lala 11 0.075 first first 18 1 232 -6.6 -6.344999 0.479997873306274 0.25 1
lala 11 0.0375 second first 14 1 233 8 5.8625 0.99999737739563 0 -1
lala 11 0.0375 first second 12 1 234 6.6 5.1075 0.39999794960022 0 -1
lala 11 0.6 second first 15 1 235 8 6.2 0.639997720718384 0 -1
lala 12 0.01875 first second 14 1 236 8 5.88125 0.459997892379761 0 -1
lala 11 0.15 second second 19 1 237 -6.6 -6.63 0.579997777938843 0.25 1
lala 8 0.3 second first 7 1 238 8 7.7 4.89999389648438 -0.25 -1
lala 15 1.2 first second 1 1 239 -8 -4.699999 1.31999707221985 -0.25 -1
lala 13 0.075 first first 9 1 240 -8 -6.125 1.11999726295471 0 1
lala 14 0.075 first first 16 1 241 -8 -6.3875 1.65999698638916 0.25 1
lala 9 0.3 first second 23 1 242 8 4.700001 0.499997854232788 0.25 -1
lala 10 0.075 second second 11 1 243 -6.6 -5.880001 0.459997892379761 0 1
lala 13 0.0046875 first second 13 1 244 6.6 5.387813 0.859997510910034 0 -1
lala 12 0.3 second first 3 1 245 -6.6 -6.03 1.01999735832214 -0.25 -1
lala 13 0.01875 second first 14 1 246 8 5.900001 0.819997549057007 0 -1
lala 8 0.6 second first 17 1 247 -8 -6.2 1.15999722480774 0.25 -1
lala 12 0.01875 first first 12 1 248 6.6 5.12625 0.61999773979187 0 1
lala 9 0.3 second first 7 1 249 8 8 3.35999536514282 -0.25 -1
lala 10 0.3 first second 23 1 250 8 5.000001 3.11999559402466 0.25 -1
lala 12 0.0375 second first 18 1 251 -6.6 -6.307499 0.939997434616089 0.25 -1
lala 16 0.6 second first 1 1 252 -8 -5.299999 0.959997415542603 -0.25 -1
lala 14 0.0375 first first 9 1 253 -8 -6.087501 0.959997415542603 0 1
lala 8 0.3 second second 20 1 254 6.6 6.12 0.419997930526733 0.25 1
lala 14 0.01875 second second 4 1 255 6.6 7.07625 0.639997720718384 -0.25 1
lala 10 1.2 first second 8 1 256 -8 -4.4 0.699997663497925 0 -1
lala 15 0.0375 second second 9 1 257 -8 -6.050001 0.299998044967651 0 1
lala 8 0.15 second second 22 1 258 8 5.75 0.499997854232788 0.25 1
lala 12 0.3 first first 15 1 259 8 6.5 0.459997892379761 0 1
lala 9 0.15 second second 20 1 260 6.6 5.97 0.319998025894165 0.25 1
lala 11 0.075 second second 11 1 261 -6.6 -5.805001 0.339998006820679 0 1
